identifier,title,date,creator,description,call_number,rights,holder,files
cmv_000113,Campen's Variety Store,1907-01-01,Unknown,"1st variety store in Mtn View. Next to theater. Mountain View, California.",PHA B23 2,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000114,Erichsen's Grocery,1925-01-01,Unknown,"Left to right: Bert Ericksen, Walter Ericksen, William Cooper, Frank J. deCurtoni. Mountain View, California.",PHA B23 3,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000115,George Gleason Store,,Unknown,"200 block Castro street (east side). Mountain View, California.",PHA B23 6,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000116,Erichsen's Grocery at night,,Unknown,"279 Castro Street. Mountain View, California.",PHA B23 4,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000117,V.C. Hobart's Fruit Stand,1910-01-01,Unknown,"located at El Calmino Real at the Seven Oaks Ranch. Mountain View, California.",PHA B24 8,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000118,S. Weilheimer & Sons General Merchandise,1900-01-01,Unknown,"First block of Castro St. near Front St. (present Evelyn). location Workingman's Store, 1972. Mountain View, California.",PHA B24 7,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000119,Mountain View Grocery and General Store,1890-01-01,Unknown,"On back of image: ""Dear Fritz, thought you would like to have this. Was down for 3 days but missed you. Sincerely, Mel Sykes. Mountain View, California.",PHA B24 1,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000120,Old Town Mountain View,,Unknown,"View of a part of old town Mountain View. Shown are Steve's Grocery, adjacent store building on the left, the Monte Vista Drive-in Theater sign, and old Beverly Home (far left), California.",PHA B24 6,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000121,Powell Bros,1919-01-01,Unknown,"Powell Bros Grocery Store, from Mountain View Register Leader: ""firm doing business in Mountain View for nearly 10 years. Senior member of firm is Mr. Henry Powell"". Mountain View, California.",PHA B24 3,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000122,Pearson & Co. Grocers,,Unknown,"West side of Castro st, 300 block. Mountain View, California.",PHA B24 2,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000123,Scarpa's Meat Market,,Unknown,"Corner of Castro and Dana. Mountain View, California.",PHA B24 5,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000124,Parkinson Brothers Company Pictures and Narrative,1910-01-01,Unknown,"Showing exterior and interior when in the Mockbee Building, lumber and hardware also on Front st, and picture of George S. Parkinson. Lower part of picture shows JE Moore and interior of the Moore Furniture Store, Castro. Mountain View, California.",PHA B25,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000125,Parkinson Hardware Store,1910-01-01,Unknown,"Corner of Castro (east side) and Villa St. Mountain View, California.",PHA B25 3,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000126,Parkinson Lumber and Hardware Store,1910-01-01,Unknown,"First block of Castro in Ames Building. Mountain View, California.",PHA B25 10,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000127,Parkinson Bros Paint Dept,1910-01-01,Unknown,"On Castro St. Mountain View, California.",PHA B25,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000128,Mountain View Hardware Co,1910-01-01,Unknown,"To the left in the Ames Building, east side of Castro St between Front (Evelyn) and Villa St. Mountain View, California.",PHA B25 1,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000129,Parkinson Lumber and Hardware Store,1910-01-01,Unknown,"First block from railroad track in Ames Building. Mountain View, California.",PHA B25 2,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000130,Parkinson Lumber,1910-01-01,Unknown,"Parkinson Lumber. Mountain View, California.",PHA B25 9,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000131,"Parkinson Hardware Store & IOOF Hall, 1910",1910-01-01,Unknown,"located on lower floor. Mountain View, California.",PHA B25 8,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000132,"Parkinson Hardware Store, interior",1910-01-01,Unknown,"VC Hobart was the bookkeeper and is the 2nd man from the left in this picture. Mountain View, California.",PHA B25 4,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000133,Parkinson Hardware Store,1910-01-01,Unknown,"Along the Southern Pacific Line. Mountain View, California.",PHA B25 8,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000134,Sundial Motel,1970-01-01,"Roberts, Mike","""Luxurious soundproof rooms - all with refrigerated air conditioning, TVs, Radios, Queen sized beds, and thermostatically controlled electric heat. Heated swimming pool, Kitchenettes, Telephone switchboard, Cocktail Lounge and 24 Hour Restaurant. Member Diner's Club, carte Blanche, America.n Express, BankAmerica.rd. Mountain View, California. Chamber of Commerce. Telephone 967-6957. 93 El Calmino Real.",,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000135,Carriages at Taylor Hotel,1910-01-01,Unknown,"Pioneer Day Stages. Mountain View, California.",PHA B26 14,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000136,"Outside Inn, 1910",1910-01-01,Unknown,"Outside Inn. Mountain View, California.",PHA B26,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000137,Union Hotel,,Unknown,"Andrew Manfrede by car. Mountain View, California.",PHA B26 7,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000138,Mountain View Hotel,1990-01-01,Mountain View Voice,"148 Castro St. Mountain View, California.",PHA B26,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000139,Union Hotel & Saloon,1900-01-01,Unknown,"located in the second block of Castro St. Mr Manfredi was the proprietor at at the turn of the century. Mountain View, California.",PHA B26,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000140,Taylor Hotel aka Outside Inn,1909-01-01,Mountain View Voice,"Taylor Hotel where the stage stopped (Discontinued when railroad came 1864.). See Mountain View Leader 4/17/1909. Mountain View, California.",PHA B26 3,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000141,S. Weilheimer's Farmer's Store,1865-01-01,Unknown,"New Mountain View, mid 1860s. Also Weilheimer Hotel (later American Hotel).",PHA B26 9,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000142,Outside Inn,1910-01-01,Unknown,"Outside Inn. Mountain View, California.",PHA B26 5,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000143,Andrew Manfredi,1900-01-01,Unknown,"Andrew Manfredi. Mountain View, California.",PHA B26 13,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000144,Taylor Hotel,1910-01-01,Unknown,"Old Mountain View, site of stage stop and Wells Fargo Office. Masses for Catholics were held there, the priests coming from Santa Clara.",PHA B26 2,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000145,"Mountain View Hotel, 1995",1995-01-01,Mountain View Voice,"146 Castro St. 6-30-1995. Mountain View, California.",PHA B26,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000146,Phil W. Clark Jeweler,,Unknown,"Adjoined Milner & Son store. 1st block Castro St. Mountain View, California.",PHA B27 2,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000147,Burns Jewelry Store,,Unknown,"Front St. (now Evelyn Ave). Mountain View, California.",PHA B27 1,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000148,Mayfield Mall construction,1984-01-01,Unknown,"Mountain View Building and Construction, Mayfield Mall. 12/17/1984, California.",PHA B27 1,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000149,Minton Door Co being demolished,,Mountain View Voice,"Formerly Minton Lumber Mill building. Evelyn Ave. Mountain View, California.",PHA B28,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000150,Sterling Lumber,,Unknown,"Sterling Lumber. Mountain View, California.",PHA B28,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000151,"H Trulsen Hay, Grain, and Feed",,Unknown,"Evelyn Ave (formerly Front St). Mr. Trulsen in doorway. Masonic meeting hall upstairs. Office of Dudfield Lumber Co. Mountain View, California.",PHA B28 1,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000152,Minton Co. Plant,,Unknown,"Minton Co. Plant. Mountain View, California.",PHA B28 2,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000153,Minton's Fire,1995-01-01,Mountain View Voice,"Minton's Fire. Mountain View, California.",PHA B28,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000154,Minton's Lumber and Supply,1995-01-01,Mountain View Voice,"Evelyn Ave 10/1995. Mountain View, California.",PHA B28,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000155,Glen Theatre facade,,Unknown,"Campen's Glen Theatre, 174 Castro St. Mountain View, California.",PHA B29,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000156,Glen Theatre,,Unknown,"174 Castro St, owned by Mr and Mrs Campen. Mountain View, California.",PHA B29 3,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000157,Office of Mountain View Register,,Unknown,"Castro St, Mr. Estes, Editor. Mountain View, California.",,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000158,Mountain View Register,,Unknown,"Established 1888. Job printing, books and stationery, library. Mountain View, California.",PHA B30 1,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000159,Plumbing Shop,1899-01-01,Unknown,"1st plumbing store. Left: John Mockbee, Lonnie Snyder, late 1890s. Mountain View, California.",PHA B32 1,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000160,Mockbee Plumbing Shop,,Unknown,"John ""Jack"" Mockbee Plumbing Shop. Earl ""Bud"" Mockbee stands in front. 542 Dana St. Built 1927. Mountain View, California.",PHA B32 2,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000161,Post Office,,Unknown,"Olympic Hall, first Post Office, on Evelyn. Margaret Hare, Mr. Taylor. Mountain View, California.",PHA B33 1,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000162,Post Office and staff,,Unknown,"Interior. Mountain View, California.",PHA B33 2,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000163,Post Office interior view,,Unknown,"View of interior of Mountain View Post Office, first block of Castro St (west side). Mountain View, California.",PHA B33 3,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000164,Post Office,,Unknown,"Otis Fellows, Frances Neuroth, unknown. Mountain View, California.",PHA B33 4,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000165,Pacific Press Building (color),1905-01-01,Unknown,"""View of the front entrance, showing the main office building with the new editorial wing to the right."" Mountain View, California.",PHA B34,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000166,Pacific Press Building collage,1905-01-01,Unknown,"Seventh Day Adventist Pacific Press Publishing Company's plant. Mountain View, California.",PHA B34 1,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000167,Pacific Press Building,1905-01-01,Unknown,"Pacific Press Building. Mountain View, California.",PHA B34 3,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000168,"Pacific Press Building, 1905",1905-01-01,Unknown,"Factory and main office of the Pacific Press Publishing Association, Villa St. Mountain View, California.",PHA B34 4,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000169,Walter A Clark Realty Co,,Unknown,"Real estate office next to Weilheimer Store and Neuroth Hotel on Castro St. Mountain View, California.",PHA B35 1,Copyright status unknown.,City of Mountain View Public Library,1
